,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Cuenta de ASPI_MPIORESIDENCIA2,ASPI_MPIORESIDENCIA,,,,,,,,,,,,,,,,,,,
PROG_NOMBRE,AGUSTÍN CODAZZI,ASTREA,BARRANCAS,BECERRIL,BOSCONIA,CHIMICHAGUA,CHIVOLO,EL COPEY,EL PASO,FONSECA,LA JAGUA DE IBIRICO,LA PAZ,PUEBLO BELLO,SAN DIEGO,SAN JUAN DEL CESAR,SANTA MARTA,URUMITA,VALLEDUPAR,VILLANUEVA,Suma total
INGENIERIA DE SISTEMAS,5,4,1,1,2,2,1,2,3,1,4,1,1,1,1,1,1,111,1,144
Suma total,5,4,1,1,2,2,1,2,3,1,4,1,1,1,1,1,1,111,1,144
